City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
waimana,-38.15,177.0833,66.0,55.0,14.0,5.99,NZ,1611957784.0
tikrit,34.6071,43.6782,49.55,76.0,34.0,6.26,IQ,1611957784.0
isangel,-19.55,169.2667,82.4,74.0,20.0,15.88,VU,1611957556.0
norman wells,65.282,-126.8329,-31.0,75.0,20.0,3.44,CA,1611957785.0
rikitea,-23.1203,-134.9692,80.11,67.0,88.0,7.54,PF,1611957555.0
puerto ayora,-0.7393,-90.3518,84.2,70.0,40.0,14.97,EC,1611957655.0
bluff,-46.6,168.3333,52.9,67.0,81.0,1.83,NZ,1611957785.0
port alfred,-33.5906,26.891,64.0,88.0,3.0,6.26,ZA,1611957647.0
atuona,-9.8,-139.0333,78.69,76.0,4.0,19.37,PF,1611957786.0
east london,-33.0153,27.9116,71.42,65.0,13.0,2.21,ZA,1611957641.0
castro,-24.7911,-50.0119,65.95,97.0,98.0,3.76,BR,1611957787.0
albany,42.6001,-73.9662,16.0,44.0,53.0,13.0,US,1611957787.0
presidencia roque saenz pena,-26.7852,-60.4388,95.07,37.0,74.0,6.33,AR,1611957565.0
novyy karachay,43.8208,41.9032,26.67,91.0,44.0,2.33,RU,1611957787.0
kununurra,-15.7667,128.7333,78.8,100.0,40.0,9.22,AU,1611957749.0
tasiilaq,65.6145,-37.6368,15.8,79.0,90.0,26.46,GL,1611957783.0
arraial do cabo,-22.9661,-42.0278,82.4,73.0,0.0,17.27,BR,1611957679.0
luderitz,-26.6481,15.1594,71.73,37.0,0.0,23.35,NA,1611957727.0
mataura,-46.1927,168.8643,58.39,56.0,25.0,1.97,NZ,1611957788.0
xinxiang,35.3089,113.8672,39.72,56.0,43.0,4.79,CN,1611957788.0
batagay-alyta,67.8006,130.4114,-29.2,82.0,100.0,1.7,RU,1611957789.0
vaini,-21.2,-175.2,75.2,94.0,90.0,11.5,TO,1611957789.0
bethel,41.3712,-73.414,18.0,56.0,0.0,1.99,US,1611957789.0
iqaluit,63.7506,-68.5145,-13.0,70.0,90.0,9.22,CA,1611957612.0
hasaki,35.7333,140.8333,33.8,44.0,20.0,13.8,JP,1611957790.0
punta arenas,-53.15,-70.9167,50.0,50.0,75.0,19.57,CL,1611957565.0
avarua,-21.2078,-159.775,78.8,83.0,75.0,9.22,CK,1611957791.0
kaitangata,-46.2817,169.8464,57.99,70.0,83.0,1.99,NZ,1611957791.0
nanortalik,60.1432,-45.2371,32.88,89.0,100.0,8.66,GL,1611957791.0
vanimo,-2.6741,141.3028,78.82,81.0,100.0,9.35,PG,1611957791.0
ahipara,-35.1667,173.1667,68.99,59.0,2.0,6.71,NZ,1611957785.0
zalantun,48.0,122.7167,-17.46,85.0,49.0,2.55,CN,1611957792.0
ranong,9.9658,98.6348,74.98,86.0,100.0,5.3,TH,1611957569.0
kapaa,22.0752,-159.319,77.0,69.0,40.0,18.41,US,1611957792.0
upernavik,72.7868,-56.1549,-7.37,82.0,83.0,11.83,GL,1611957792.0
pokhara,28.2333,83.9833,47.57,40.0,0.0,5.01,NP,1611957793.0
jamestown,42.097,-79.2353,21.0,73.0,90.0,13.8,US,1611957565.0
yellowknife,62.456,-114.3525,-14.01,76.0,1.0,9.22,CA,1611957517.0
ribeira grande,38.5167,-28.7,60.8,77.0,20.0,10.36,PT,1611957793.0
georgetown,5.4112,100.3354,77.0,83.0,20.0,3.44,MY,1611957789.0
sitka,57.0531,-135.33,37.4,52.0,90.0,13.8,US,1611957563.0
inhambane,-23.865,35.3833,78.84,83.0,23.0,3.11,MZ,1611957794.0
rzhaksa,52.1338,42.0264,30.99,97.0,97.0,16.98,RU,1611957794.0
sao joao da barra,-21.6403,-41.0511,82.4,65.0,0.0,20.71,BR,1611957689.0
namatanai,-3.6667,152.4333,83.26,79.0,91.0,12.57,PG,1611957794.0
bengkulu,-3.8004,102.2655,75.06,88.0,100.0,5.61,ID,1611957795.0
busselton,-33.65,115.3333,62.01,84.0,0.0,1.99,AU,1611957789.0
qaanaaq,77.484,-69.3632,-14.28,61.0,0.0,5.48,GL,1611957800.0
cherskiy,68.75,161.3,-32.93,83.0,35.0,4.52,RU,1611957800.0
stanger,-29.3282,31.2895,75.2,88.0,90.0,1.14,ZA,1611957800.0
leningradskiy,69.3833,178.4167,-24.02,84.0,98.0,8.95,RU,1611957801.0
coquimbo,-29.9533,-71.3436,64.4,72.0,20.0,12.66,CL,1611957786.0
